Rank	Vector Label	Distance	
1	Jazz/04 Chameleon (Edit).mp3	180.6512	
2	Jazz/05 Bull Rider.mp3	183.5088	
3	Electro/06 Whiskers.mp3	185.7896	
4	Jazz/18 Blue Bayou.mp3	195.1633	
5	Electro/Strange Behaviour.mp3	197.1119	
6	Jazz/03 Cold Cold Heart.mp3	200.2267	
7	Jazz/08 You've Ruined Me.mp3	201.4386	
8	Jazz/10 Stuck.mp3	202.2051	
9	Jazz/05 I Wouldn't Need You.mp3	202.7391	
10	Jazz/07 It's Gonna Be.mp3	205.5021	
11	Jazz/02 Seven Years.mp3	205.6109	
12	Jazz/12 Nightingale.mp3	206.2277	
13	Jazz/13 Loretta.mp3	206.4882	
14	Jazz/09 Humble Me.mp3	207.7749	
15	Jazz/14 The Nearness Of You.mp3	207.7829	
16	Hip Hop/01 Make Me Proud (feat. Nicki Minaj).mp3	209.4451	
17	Jazz/06 Waiting.mp3	210.7745	
18	Jazz/05 Come Away With Me.mp3	210.7886	
19	Hip Hop/01 Marvins Room.mp3	210.9487	
20	Jazz/08 Toes.mp3	211.0908	
21	Jazz/11 December.mp3	212.6267	
22	Jazz/03 Light as a Feather.mp3	212.7953	
23	Electro/05 Scary Monsters And Nice Sprites - Phonat Remix.mp3	213.3302	
24	Jazz/07 Never As Good As The First Time.mp3	215.1542	
25	Jazz/13 Man of the Hour.mp3	216.395	
26	Hip Hop/June Ft. Copywrite.mp3	216.7294	
27	Heavy Metal/13 Smokin' In The Boys Room.mp3	217.031	
28	Jazz/01 Chasing Pirates.mp3	217.3127	
29	Jazz/10 Be My Somebody.mp3	217.3237	
30	Jazz/01 Sunrise.mp3	218.1984	
31	Jazz/05 St. Louis Blues (with Stevie Wonder).mp3	218.2343	
32	Jazz/09 Back to Manhatten.mp3	219.0877	
33	Hip Hop/07 20 Dollar.mp3	220.9095	
34	Hip Hop/Work.mp3	220.9539	
35	Jazz/09 Wake Me Up.mp3	221.2931	
36	Electro/04 Embers (feat. Lindsay).mp3	221.5285	
37	Jazz/09 I've Got To See You Again.mp3	222.1136	
38	Jazz/12 The Prettiest Thing.mp3	222.3981	
39	Jazz/10 Above Ground.mp3	223.0423	
40	Jazz/04 Feelin' The Same Way.mp3	223.9396	
41	Jazz/03 The Sun Doesn't Like You.mp3	224.2479	
